t,2--1,3--1,4--1,5--1,6--1,7--1
2.208,,19.599647612431628,,0.0,,2.4164350825524976
2.25,,31.336147653813473,,0.0,,0.3518294913974578
2.292,,23.342682907304457,,0.0,,0.0
2.333,,24.648922351677083,,0.0,,0.0
2.375,,36.82620970399048,,0.0,,3.125298824405309
2.417,,19.806306453099282,,0.0,,7.17240655109952
2.458,,0.0,,0.0,,12.94817052016192
2.5,,6.559059140552485,,0.0,,22.123396986801097
2.542,,14.024428087907477,,0.0,,26.377235993467494
2.583,,10.634976765080253,,0.0,,15.745044147581064
2.625,,8.862417634567171,,0.0,,0.0
2.667,,7.940712801330608,,0.0,,0.0
2.708,,7.81774253184269,,0.0,,0.0
2.75,,8.032324330027025,,0.0,,0.0
2.792,,8.025775103870194,,0.0,,0.0
2.833,,7.559866668064904,,0.0,,0.0
2.875,,7.256845742773997,,0.0,,0.0
2.917,,7.0466856149242005,,0.0,,0.0
2.958,,7.256710092451746,,0.0,,0.0
3.0,,7.83498701770676,,0.0,,0.0
3.042,,9.770137791602929,,0.0,,0.0
3.083,,13.453814744904662,,0.0,,0.0
3.125,,7.785470807322964,,0.0,,0.0
3.167,,0.0,,0.0,,0.0
3.208,,0.0,,0.0,,0.0
3.25,,0.0,,0.0,,0.0
3.292,,0.0,,0.0,,0.0
3.333,,0.0,,0.0,,0.0
3.375,,0.0,,0.0,,0.0
3.417,,0.0,,0.0,,0.0
3.458,,0.0,,0.0,,0.0
3.5,,0.0,,0.0,,0.0
3.542,,0.0,,0.0,,0.0
3.583,,0.0,,0.0,,0.0
3.625,,0.0,,0.0,,0.0
3.667,,0.0,,0.0,,0.0
3.708,,0.0,,0.0,,0.0
3.75,,0.0,,0.0,,0.0
3.792,,0.0,,0.0,,0.0
3.833,,0.0,,0.0,,0.0
3.875,,0.0,,0.0,,0.0
3.917,,0.0,,0.0,,20.78062067924514
3.958,,0.0,,0.0,,18.07862807626499
4.0,,0.0,,0.0,,15.722162428537272
4.042,,0.0,,0.0,,14.94308130752543
4.083,,0.0,,0.0,,15.225982586816587
4.125,,51.61213635921952,,0.0,,16.401367047474192
4.167,,26.381664375691162,,0.0,,21.84045597658759
4.208,,17.482974693907323,,0.0,,29.93774047512542
4.25,,12.870258650980189,,0.0,,36.21598157877795
4.292,,11.52667539954299,,0.0,,25.060087436547153
4.333,,12.492030442046776,,0.0,,31.689397131671367
4.375,,12.47138418496972,,0.0,,39.82646142542212
4.417,,10.91575345538667,,0.7032530955657714,,0.0
4.458,,8.781546355189798,,0.023996914451852373,,0.0
4.5,,7.17044741915234,,0.4898521529416782,,0.0
4.542,,6.308861949724318,,0.0,,0.0
4.583,,6.43108109886246,,0.0,,0.0
4.625,,7.465920025136353,,0.0,,0.0
4.667,,7.967641663172282,,0.0,,1.237288528586831
4.708,,9.583296858113851,,0.0,,4.508042835878205
4.75,,15.409541053688754,,0.0,,9.14635367007201
4.792,,30.34111372011118,,0.0,,14.42619854881872
4.833,,40.70401188684644,,0.0,,17.208030582326
4.875,,21.713222290543296,,0.0,,15.984635442650582
4.917,,83.65850867370636,,0.0,,17.189321727343458
4.958,,26.656666937306934,,0.0,,18.674603090621364
5.0,,14.466323375213765,,0.0,,4.964029707089514
5.042,,9.861650855948543,,0.0,,0.0
5.083,,6.415408415800743,,0.0,,0.0
5.125,,4.10612004656965,,243.91175332582876,,0.0
5.167,,2.6043578008522332,,48.87377680209476,,0.0
5.208,,1.7382802934503991,,20.5755715958158,,0.0
5.25,,1.2309512367125943,,12.811979316302185,,0.0
5.292,,0.8990965121434957,,7.892959673737501,,0.0
5.333,,0.6192865589995994,,0.0,,0.0
5.375,,0.4244502017332758,,0.0,,0.0
5.417,,0.30199526865312254,,0.0,,0.0
5.458,,0.19197038474626973,,15.45867981446934,,0.0
5.5,,0.009693328897652046,,29.795045172406176,,0.0
5.542,,0.0,,36.477360742937776,,1.5578874067510757
5.583,,0.0,,40.962625054223615,,76.857602559755
5.625,,0.0,,45.62344472042479,,16.222529958264722
5.667,,0.0,,51.48271409647147,,8.089675354718652
5.708,,0.0,,59.20420780598205,,5.093222791267021
5.75,,0.0,,69.37944715982117,,3.7190279366593346
5.792,,0.0,,82.37203593810911,,2.9643993389534575
5.833,,0.0,,97.22049736233934,,2.4558633352038424
5.875,,0.0,,107.46893563421854,,1.9843880089780448
5.917,,0.0,,90.16666141217772,,1.2725424738253042
5.958,,0.0,,6.795108490351493,,0.539460001087246
6.0,,0.0,,0.0,,0.06817551157704879
6.042,,0.0,,0.0,,0.0
6.083,,0.0,,0.0,,0.0
6.125,,0.0,,0.0,,0.0
6.167,,0.0,,0.0,,0.0
6.208,,0.0,,0.0,,0.0
6.25,,0.0,,0.0,,0.0
6.292,,0.0,,0.0,,0.0
6.333,,0.0,,0.0,,0.0
6.375,,0.0,,22.188883068768487,,0.0
6.417,,0.0,,21.74439686180589,,0.0
6.458,,0.0,,0.0,,0.0
6.5,,0.0,,0.0,,0.0
6.542,,0.0,,0.0,,0.0
6.583,,0.0,,0.0,,0.0
6.625,,0.0,,0.0,,0.0
6.667,,0.0,,0.0,,0.0
6.708,,2.8005316339800905,,0.0,,0.0
6.75,,1.9344231972507948,,0.0,,0.0
6.792,,1.4883729892938344,,0.0,,0.0
6.833,,1.2743721476652317,,0.0,,0.0
6.875,,1.185190215250905,,0.0,,0.0
6.917,,1.1440910472527848,,0.0,1.9681333423184193,0.0
6.958,,1.157535231680291,,64.91460627744483,1.8202864299205885,0.0
7.0,,1.163786309564051,,20.18770981822887,1.7640570766173693,0.0
7.042,,1.1927731108944686,,,1.9923108663011757,0.0
7.083,,1.1830718194576089,,,2.228711120509611,0.0
7.125,,1.2189172719660193,,,2.3487926290923675,0.0
7.167,,1.2393174475788153,,,2.5701828630065013,0.0
7.208,,1.217775475557678,,,2.971743222419662,0.0
7.25,,1.1447484506444854,,,3.58557465438279,0.0
7.292,,1.0716336487966462,,,4.442993072859167,0.0
7.333,,1.0470625497239008,,,5.495623822628968,0.0
7.375,,1.0669205131897166,,0.0,6.74154154091824,0.0
7.417,,1.110875596446066,,0.0,8.064388256961598,0.0
7.458,,1.1419387552591853,,0.0,10.008543177958735,0.0
7.5,,1.0493999582166116,,0.0,12.494484402096424,0.0
7.542,,0.8972586416473326,,0.0,13.781425587276837,0.23792131405544284
7.583,,0.7524582101841243,,0.0,12.182619452839296,0.3677467782635835
7.625,,0.6735972634633426,,0.0,9.852256288667137,0.0902289010276923
7.667,,0.6413181198543635,,0.0,8.47040259759679,0.0
7.708,,0.6231273366041118,,0.0,8.019588651796845,0.0
7.75,,0.5299622611647309,,0.0,9.14476217250398,0.0
7.792,,0.4263819008292186,,0.0,12.43894700669142,0.0
7.833,,0.34671788769108447,,0.0,13.998923836323959,0.0
7.875,,0.3090204825395443,,0.0,10.60221985428618,0.0
7.917,,0.30214954758444074,,0.0,6.828873296595508,0.0
7.958,,0.29589751070352593,,0.0,4.8904628364247325,0.0
8.0,,0.25229543190808573,,0.0,4.033448008688387,0.0
